"gene","coefficient"
"(Intercept)",0.682847951984274
"TRPM3 (80036)",-0.027248372240074
"METTL2A (339175)",0.0261368980216459
"NUP50 (10762)",-0.00124866035185453
"CTSG (1511)",-0.0299050174505631
"NINL (22981)",0.0172495049006331
"MAN1C1 (57134)",-0.00425751883668484
"TMEM14B (81853)",0.00574401723402017
"TM4SF5 (9032)",-0.142179280688368
"SHROOM4 (57477)",-0.00605445244326625
"PTER (9317)",0.00241122679068209
"KIF7 (374654)",-0.00181965003802726
