"gene","coefficient"
"(Intercept)",0.974819065652932
"CIAPIN1 (57019)",0.000785933042288428
"DCX (1641)",-0.037124287447128
"CHODL (140578)",-0.00503556793159905
"DRAXIN (374946)",-0.0215001193214773
"FABP1 (2168)",-0.029270064925324
"OR2J3 (442186)",-1.91497063353211
"OR2L8 (391190)",-0.0342606107923522
