iteration,mean_effect_melanoma,mean_effect_other,selectivity,frac_dependent_melanoma,frac_dependent_other
1,-1.2724627421267123,-0.18270027555092963,-1.0897624665757826,0.7733333333333333,0.024186046511627906
2,-1.2983604800020234,-0.18538528231168921,-1.1129751976903342,0.8533333333333334,0.026976744186046512
3,-1.3517726289534238,-0.17203695479027326,-1.1797356741631506,0.8533333333333334,0.024186046511627906
4,-1.5112804370384045,-0.18194959835843116,-1.3293308386799734,0.9066666666666666,0.023255813953488372
5,-1.1695342719842499,-0.1820523924337232,-0.9874818795505267,0.7733333333333333,0.02883720930232558
6,-1.3863662168485458,-0.1843726033368473,-1.2019936135116984,0.88,0.02883720930232558
7,-1.4592637526166932,-0.18079453914977325,-1.27846921346692,0.8933333333333333,0.025116279069767444
8,-1.3408821981083459,-0.18985959711703465,-1.1510226009913112,0.8133333333333334,0.023255813953488372
9,-1.3515718214691161,-0.1810714877190592,-1.170500333750057,0.8533333333333334,0.03348837209302326
10,-1.486661841379582,-0.1791610067990938,-1.3075008345804882,0.88,0.023255813953488372
11,-1.4561961307906564,-0.18202927134667446,-1.274166859443982,0.8933333333333333,0.022325581395348838
12,-1.1261176178769836,-0.18959258373642573,-0.9365250341405579,0.76,0.04186046511627907
13,-1.3540127923653724,-0.18335132658919953,-1.170661465776173,0.7866666666666666,0.026046511627906978
14,-1.4411570266932576,-0.1851406926152308,-1.2560163340780268,0.9066666666666666,0.03162790697674418
15,-1.3048779089882345,-0.17470398615314273,-1.1301739228350918,0.84,0.025116279069767444
16,-1.3469327010601628,-0.19145506035953874,-1.155477640700624,0.8666666666666667,0.035348837209302326
17,-1.4495563318772244,-0.17278852717462,-1.2767678047026045,0.8533333333333334,0.022325581395348838
18,-1.4630828909836922,-0.1772411996808001,-1.285841691302892,0.8666666666666667,0.022325581395348838
19,-1.525025004259373,-0.1692464736513144,-1.3557785306080585,0.92,0.024186046511627906
20,-1.4341035509608067,-0.1970672678815008,-1.2370362830793058,0.9066666666666666,0.029767441860465118
21,-1.4003794553447737,-0.19181419020411244,-1.2085652651406613,0.8533333333333334,0.029767441860465118
22,-1.281867638732927,-0.17781995142251653,-1.1040476873104106,0.8266666666666667,0.020465116279069766
23,-1.3500989210016747,-0.18699741000273798,-1.1631015109989367,0.84,0.026046511627906978
24,-1.3775012117604364,-0.18922235401942195,-1.1882788577410144,0.84,0.03255813953488372
25,-1.4179735437535643,-0.18706563889391153,-1.2309079048596527,0.8666666666666667,0.02883720930232558
26,-1.525345341456456,-0.18582642744534728,-1.3395189140111086,0.88,0.03162790697674418
27,-1.3448579659109015,-0.18416087808492443,-1.160697087825977,0.8533333333333334,0.029767441860465118
28,-1.4928227417593432,-0.183708254346427,-1.3091144874129161,0.88,0.03348837209302326
29,-1.3422106452409608,-0.18164096124514248,-1.1605696839958184,0.8266666666666667,0.029767441860465118
30,-1.3679326092420037,-0.17058594710739858,-1.1973466621346052,0.7733333333333333,0.014883720930232559
31,-1.341780196549259,-0.18356081689152004,-1.158219379657739,0.84,0.03441860465116279
32,-1.294761164974778,-0.18840414703598954,-1.1063570179387883,0.8133333333333334,0.03441860465116279
33,-1.362614237375104,-0.1880925630263961,-1.174521674348708,0.84,0.027906976744186046
34,-1.3054656908599738,-0.17423227804752853,-1.1312334128124453,0.8133333333333334,0.01953488372093023
35,-1.3785424386258673,-0.19701770938275653,-1.1815247292431108,0.8533333333333334,0.026976744186046512
