Gene,log2FC,FDR
SLC16A3,3.50840676471267,5.5579463262894e-50
ARHGAP22,3.50007814314488,1.96282861098974e-34
KRT17,3.49997327413472,8.38207850068054e-14
NCR3,3.49864319417875,0.0013082767381243
DAW1,3.49851889459097,4.9665322052780904e-17
RRAD,3.49646384673279,5.00533216103418e-06
PAQR5,3.4750100367126,3.30085116949451e-32
ZCCHC5,3.47272910496216,9.449036496940251e-14
AXL,3.46804336938348,5.58277954531588e-22
LRRC74B,3.46253396941869,9.65916582682339e-05
C11orf86,3.45523229801992,4.17803459182751e-06
LAMB2P1,3.44473177522356,1.6988703237374302e-09
FASLG,3.4361768174842,3.99268508359784e-08
CYTH4,3.43489669150972,1.32138336027344e-06
STAT4,3.43374903816001,7.17570129914951e-06
NLRP10,3.41941640470683,7.30761624261093e-13
KRT3,3.41639711695664,8.24082181041729e-08
INPP5D,3.41173072691145,1.76443684837501e-06
NTNG1,3.40560133034962,3.04815985668829e-18
ACSL5,3.39582078443851,6.32958865363273e-26
ITGA3,3.38323306286579,2.69030870988116e-72
PDCD1LG2,3.37563043896833,5.983034887196901e-45
LINC01173,3.3745912268554,7.72781158775868e-08
