Gene,mean_effect_melanoma,median_effect_melanoma,std_effect_melanoma,n_melanoma,mean_effect_other,median_effect_other,std_effect_other,n_other,selectivity,frac_dependent_melanoma,frac_dependent_other,dependency_prevalence_difference,welch_t,p_value,fdr_bh,hedges_g,mean_dep_prob_melanoma,mean_dep_prob_other,frac_prob_gt_05_melanoma,frac_prob_gt_05_other,mean_expr_melanoma,median_expr_melanoma,frac_expressed_melanoma,is_common_essential,is_reference_gene,rank_effect,rank_selectivity,rank_prevalence,rank_probability,rank_fdr,priority_score,candidate_rank
SOX10,-1.3689764491938454,-1.531758221587148,0.6719824701557934,75,-0.1845067908520526,-0.1713986424025259,0.2081873872454634,1075,-1.1844696583417929,0.84,0.027906976744186046,0.8120930232558139,-15.214138160230082,1.2536814949037809e-24,1.1560823905255215e-20,-4.484991870327436,0.8507306623572956,0.15192233575094674,0.84,0.04093023255813953,6.689293483588325,7.572586549385767,0.8888888888888888,False,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1
BRAF,-0.8426411983221009,-0.971459794307466,0.64630500453695,75,-0.07746208942792537,-0.0406653501249008,0.21920144479237705,1075,-0.7651791088941755,0.6666666666666666,0.03162790697674418,0.6350387596899224,-10.212227657330144,7.425668099912132e-16,1.0534738212821496e-12,-2.8522163972403605,0.6688804442476991,0.09068623457070049,0.6666666666666666,0.037209302325581395,3.1558578326750513,3.1747259877061333,1.0,False,True,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.3142857142857143,2
ZEB2,-0.7015956524202439,-0.6947124045109407,0.4056428540717362,75,-0.2677645559423911,-0.2119756154596334,0.2571651885875755,1075,-0.4338310964778528,0.68,0.12093023255813953,0.5590697674418605,-9.134868866094687,5.779831081718147e-14,5.922079146673766e-11,-1.6104044479106137,0.687333570147249,0.23282110198800954,0.7066666666666667,0.13116279069767442,5.169293514776464,5.310340120612151,0.98989898989899,False,False,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5571428571428572,3
MAPK1,-0.7325113436390706,-0.7138246464753908,0.5235248015877356,75,-0.21201173895186654,-0.1785385777333477,0.24430203794811609,1075,-0.520499604687204,0.6266666666666667,0.09116279069767441,0.5355038759689923,-8.545540769627847,9.670310892734348e-13,6.605538659062948e-10,-1.9185933661368009,0.6546709714839616,0.19778917900449478,0.6666666666666666,0.12186046511627907,5.412051834576672,5.467605550082998,1.0,False,False,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.5857142857142857,4
DUSP4,-0.664843493292558,-0.5879241031138301,0.6141366483716729,75,-0.052401017373011644,-0.0226336586527731,0.18977643901537214,1075,-0.6124424759195464,0.5733333333333334,0.02883720930232558,0.5444961240310078,-8.607738686557525,8.315044703354554e-13,5.898244979383387e-10,-2.5412462928633075,0.5553772205878829,0.07136064804419855,0.5866666666666667,0.03348837209302326,6.286078828600683,6.536363792395467,0.98989898989899,False,False,0.7142857142857143,0.42857142857142855,0.5714285714285714,1.0,0.7142857142857143,0.6285714285714286,5
PPP2R2A,-0.5998727803700536,-0.6003482967335745,0.32793308964880163,75,-0.17424880776026194,-0.1500194901022779,0.29572191817821225,1075,-0.4256239726097917,0.5866666666666667,0.12372093023255815,0.4629457364341085,-10.934236719940158,9.951169452282078e-18,2.2941177276054797e-14,-1.4277984531913477,0.6082549260340079,0.20805920085723714,0.5866666666666667,0.15069767441860465,5.431569547700818,5.443606651475615,1.0,False,False,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.8285714285714286,6
PPM1G,-0.6307118055398866,-0.5840457422339925,0.4115574359035712,75,-0.27281368025329494,-0.2471124483848315,0.22117060057351262,1075,-0.35789812528659165,0.5466666666666666,0.10325581395348837,0.44341085271317826,-7.456377126920591,1.123847825864552e-10,4.1454250904839864e-08,-1.5022940988348745,0.5947437800733959,0.24873523876349635,0.6,0.13581395348837208,6.674959021508691,6.670443812122809,1.0,False,False,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.9428571428571428,7
