cohort,step,n_before,n_after,n_removed,reason
Liu 2019,Clinical data loaded,122,122,0,Merged patient-level and sample-level clinical records.
Liu 2019,Clinical data harmonised,122,122,0,"Applied identifier standardisation, clinical cleaning, baseline filtering, and variable harmonisation."
Liu 2019,Expression data availability,122,122,0,Identified samples with matching RNA-seq gene expression data.
