model_key,model_name,cv_auc,loco_Gide 2019,loco_Hugo 2016,loco_Liu 2019,loco_Riaz 2017,loco_TCGA GDC 2025,loco_Van Allen 2015,loco_mean
xgb,XGBoost,0.6441022062732589,0.5819845179451091,0.5,0.5277157738095238,0.6840909090909091,0.423076923076923,0.46703296703296704,0.5306501818259054
rf,Random Forest,0.6393573896863372,0.6368754398311048,0.49999999999999994,0.5520833333333333,0.6454545454545455,0.4304733727810651,0.43956043956043955,0.534074521826748
svm,Support Vector Machine,0.6898326636813479,0.5770584095707247,0.42857142857142855,0.5993303571428571,0.7477272727272727,0.4319526627218935,0.6538461538461539,0.5730810474300551
elasticnet,ElasticNet,0.6141917658365026,0.5587614356087263,0.44505494505494503,0.5985863095238095,0.7500000000000001,0.37426035502958577,0.7032967032967032,0.5716599580856284
lr,Logistic Regression,0.6109482987772461,0.5467980295566504,0.44505494505494503,0.5948660714285713,0.7409090909090909,0.371301775147929,0.7032967032967032,0.5670377692323149
__cohort_n__,CohortN,,78.0,27.0,104.0,64.0,52.0,33.0,
