Feature,Optimal_Threshold,Youden_J,Sensitivity,Specificity,AUC_ROC
TIS,0.1913991603927575,0.1837902007338657,0.573170731707317,0.6106194690265487,0.5854737750917333
CYT,0.6210017728353666,0.20537448737319233,0.32926829268292684,0.8761061946902655,0.5834232678609972
IFN_gamma,0.2432881897797105,0.15055039930930286,0.5487804878048781,0.6017699115044248,0.5662637599827326
CD8_T_cells,0.0689606620708516,0.18400604360025907,0.6707317073170732,0.5132743362831859,0.5838549535937837
B_cells,0.4295341059200681,0.3064968702784373,0.5365853658536586,0.7699115044247787,0.6323116770990718
M1_M2_Ratio,1.0759702018034896,0.03442693718972588,0.06097560975609756,0.9734513274336283,0.4417224260738183
