model,mean_auc,std_auc,n_features
"ODE ""Digital Twin"" (2 ODE outputs)",0.6523308270676692,0.07382901866750287,2
Neural Net (12 raw features),0.5827903091060985,0.054010189820782345,12
Random Forest (12 raw features),0.6821219715956558,0.051986928710237634,12
Logistic Reg (12 raw features),0.6459649122807017,0.028678922500830685,12
