OR,CI_lower,CI_upper,p_value,Counts,Feature
2.1333333333333333,1.196013062175627,3.805235289681818,0.013379955820769358,"Exposed: 48/93, Unexposed: 34/102",TMB (High vs Low)
6.0606060606060606,0.7418377223627123,49.513451142480164,0.08262416924843216,"Exposed: 75/174, Unexposed: 1/9",Clinical Stage (IV vs III)
1.261290322580645,0.6999463165732818,2.2728218438578374,0.45838369021935055,"Exposed: 51/111, Unexposed: 31/77",Sex (Male vs Female)
1.173913043478261,0.4905834946276706,2.809046469641797,0.8246868033327277,"Exposed: 17/40, Unexposed: 17/44",Age (>=60.5 vs <60.5)
1.059782608695652,0.5970023097874395,1.8812978765419708,0.8840827058996792,"Exposed: 36/84, Unexposed: 46/111",BRAF Mutation (Mut vs WT)
1.5344827586206897,0.7967666381144509,2.9552408746385437,0.23901909641246416,"Exposed: 24/48, Unexposed: 58/147",NRAS Mutation (Mut vs WT)
2.425174825174825,1.0683992606219546,5.504939164070483,0.03859235253664281,"Exposed: 17/28, Unexposed: 65/167",NF1 Mutation (Mut vs WT)
